id;amount;date;notes;created_at
1;15716.36;2024-04-25;delightfully even;2024-04-24T19:40:10
2;90.17;2024-04-25;silky until angle;2024-04-25T06:46:36
3;14591.57;2024-04-25;calibrate in;2024-04-25T13:48:25
4;13477.08;2024-04-25;yowza than;2024-04-25T05:27:19
5;12132.18;2024-04-25;exotic without;2024-04-25T17:21:10
6;28178.59;2024-04-25;utter coil tiny;2024-04-25T05:01:24
7;12314.32;2024-04-25;generously oof origin;2024-04-24T21:03:39
8;27226.7;2024-04-25;versus;2024-04-25T03:12:40
9;8383.36;2024-04-24;gratefully athletic;2024-04-25T12:04:37
10;32193.68;2024-04-24;common yieldingly angrily;2024-04-25T13:24:58
